title,image_url,description
The Bedroom,"https://www.artic.edu/iiif/2/25c31d8d-21a4-9ea1-1d73-6a2eca4dda7e/full/843,/0/default.jpg","Vincent van Gogh so highly esteemed his bedroom painting that he made three distinct versions: the first, now in the collection of the Van Gogh Museum, Amsterdam; the second, belonging to the Art Institute of Chicago, painted a year later on the same scale and almost identical; and a third, smaller canvas in the collection of the Musée d’Orsay, Paris, which he made as a gift for his mother and sister. Van Gogh conceived the first in October 1888, a month after he moved into his “Yellow House” in Arles, France. This moment marked the first time the artist had a home of his own, and he had immediately and enthusiastically set about decorating, painting a suite of canvases to fill the walls. Completely exhausted from the effort, he spent two-and-a-half days in bed and was then inspired to create a painting of his bedroom. As he wrote to his brother Theo, “It amused me enormously doing this bare interior. With a simplicity à la Seurat. In ﬂat tints, but coarsely brushed in full impasto, the walls pale lilac, the ﬂoor in a broken and faded red, the chairs and the bed chrome yellow, the pillows and the sheet very pale lemon green, the bedspread blood-red, the dressing-table orange, the washbasin blue, the window green. I had wished to express utter repose with all these very different tones.” Although the picture symbolized relaxation and peace to the artist, to our eyes the canvas seems to teem with nervous energy, instability, and turmoil, an effect heightened by the sharply receding perspective."
Buddha Shakyamuni Seated in Meditation (Dhyanamudra),"https://www.artic.edu/iiif/2/0675f9a9-1a7b-c90a-3bb6-7f7be2afb678/full/843,/0/default.jpg","This meditating Buddha comes from the coastal town of Nagapattinam in southern India, which was, as a result of settlers from Srivijaya (Indonesia), one of the few places where Buddhism was still flourishing in the twelfth century. The Buddha—with his elongated earlobes, the wheel marks on his palms, the between his brows, and the cranial protuberance covered with snail-shell curls—is seated in the posture of meditation, with his hands resting on his lap , wearing a seemingly diaphanous monastic garment. As in other images from Nagapattinam, a flame emerges out of the Buddha’s cranial protuberance, probably signifying wisdom. This monumental granite sculpture originally would have graced a monastic site at Nagapattinam, which is also well known for its Buddhist bronzes. The Tamil inscription covering its back is no longer legible."
Paris Street; Rainy Day,"https://www.artic.edu/iiif/2/f8fd76e9-c396-5678-36ed-6a348c904d27/full/843,/0/default.jpg","This complex intersection, just minutes away from the Saint-Lazare train station, represents in microcosm the changing urban milieu of late nineteenth-century Paris. Gustave Caillebotte grew up near this district when it was a relatively unsettled hill with narrow, crooked streets. As part of a new city plan designed by Baron Georges-Eugène Haussmann, these streets were relaid and their buildings razed during the artist’s lifetime. In this monumental urban view, which measures almost seven by ten feet and is considered the artist’s masterpiece, Caillebotte strikingly captured a vast, stark modernity, complete with life-size figures strolling in the foreground and wearing the latest fashions. The painting’s highly crafted surface, rigorous perspective, and grand scale pleased Parisian audiences accustomed to the academic aesthetic of the official Salon. On the other hand, its asymmetrical composition, unusually cropped forms, rain-washed mood, and candidly contemporary subject stimulated a more radical sensibility. For these reasons, the painting dominated the celebrated Impressionist exhibition of 1877, largely organized by the artist himself. In many ways, Caillebotte’s frozen poetry of the Parisian bourgeoisie prefigures Georges Seurat’s luminous , painted less than a decade later."
A Sunday on La Grande Jatte — 1884,"https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg","In his best-known and largest painting, Georges Seurat depicted people from different social classes strolling and relaxing in a park just west of Paris on La Grande Jatte, an island in the Seine River. Although he took his subject from modern life, Seurat sought to evoke the sense of timelessness associated with ancient art, especially Egyptian and Greek sculpture. He once wrote, “I want to make modern people, in their essential traits, move about as they do on those friezes, and place them on canvases organized by harmonies of color.” Seurat painted using pointillism, a highly systematic and scientific technique based on the hypothesis that closely positioned points of pure color mix together in the viewer’s eye. He began work on the canvas in 1884 (and included this date in the title) with a layer of small, horizontal brushstrokes in complementary colors. He next added a series of dots that coalesce into solid and luminous forms when seen from a distance. Sometime before 1889 Seurat added a border of blue, orange, and red dots that provide a visual transition between the painting’s interior and the specially designed white frame, ."
Weaving,"https://www.artic.edu/iiif/2/96e26f4f-c578-b14c-2714-2a565f19e0d0/full/843,/0/default.jpg","Laboring at a backstrap loom in this painting is Luz Jiménez, a master weaver and Nahua, one of the largest Indigenous groups in Mesoamerica. With expertise and dexterity, Jiménez threads weft through warp, slowly building her intricately patterned textile, the completed portion resting on her lap. Diego Rivera, a leading modernist painter who came to prominence in the years after the Mexican Revolution (1910–20), promoted a vision of Mexican national identity rooted in Indigenous and folk cultures, distinct from the legacies of Spanish colonialism. By centering Jiménez in , Rivera claimed her traditions as part of his own."
City Landscape,"https://www.artic.edu/iiif/2/f7f9615d-2c2b-6b23-47b2-cd6cdc846504/full/843,/0/default.jpg","Although influenced by Abstract Expressionist artists in New York in the early 1950s, Joan Mitchell did not prioritize self-expression: her often exuberant abstractions were “about landscape, not about me,” she once explained. Mitchell painted large, light-filled canvases animated by loosely applied skeins of bright color—here infused with the energy of a large metropolis. The title suggests a relationship between the painting’s network of pigments and the nerves or arteries of an urban space. The sense of spontaneity conveyed in City Landscape, however, belies Mitchell’s methods. Unlike many of her contemporaries, who were dubbed “action painters,” Mitchell worked slowly and deliberately. “I paint a little,” she said. “Then I sit and look at the painting, sometimes for hours. Eventually, the painting tells me what to do.”"
Coronation Stone of Motecuhzoma II (Stone of the Five Suns),"https://www.artic.edu/iiif/2/ea8c5d62-6ce8-88e8-feb1-e0053cf534c5/full/843,/0/default.jpg","This stone, commemorating the beginning of the reign of Emperor Motecuhzoma II, was originally located within the ritual center of Tenochtitlan, the capital of the extensive empire conquered by the Aztecs between 1428 and 1519. The ruins of the city lie beneath downtown Mexico City. Known as the , this monument draws connections between Aztec history and the cosmic scheme. The quadrangular block is carved with the hieroglyphic signs of five successive cosmic eras, called “suns” in the language of the Aztecs. These eras were mythic cycles of creation and destruction that began in the time of genesis and continued with the birth of humankind and the period of Aztec rule. From “4 Jaguar-sun” in the lower-right corner, the eras proceed counterclockwise through “4 Wind-sun,” “4 Rain-sun,” and “4 Water-sun.” The X carved in the center represents “4 Movement-sun,” the sign of the present era for the Aztecs. The year “11 Reed” in the square cartouche refers to 1503, the year of Motecuhzoma’s coronation, while the day listed above it—“1 Crocodile”—corresponds to July 15, when the ceremony probably occurred. On the underside, the hieroglyphic date “1 Rabbit” denotes the beginning of things in the distant mythological past. The sculpture thus legitimizes Motecuhzoma’s rule as part of the cycle of birth, death, and renewal and presents him as heir to the world in the present era of creation."
Nightlife,"https://www.artic.edu/iiif/2/ec19d5f1-ae0f-5186-d421-4a53dca5fb90/full/843,/0/default.jpg","A palpable energy and sense of movement enliven , Archibald Motley’s portrayal of a crowded cabaret in the South Side neighborhood of Bronzeville in Chicago. With stylized figures, an array of diagonal lines, and heightened colors keyed to shades of magenta and violet, the artist captured the exuberance of city dwellers out on the town. Motley created a network of gestures and glances among the people, drawing attention to the various social interactions that animate the scene. The composition is an exploration of artificial lighting. Motley was inspired, in part, to paint after having seen Edward Hopper’s (1942.51), which had entered the Art Institute’s collection the prior year."
Hero Construction,"https://www.artic.edu/iiif/2/62f2ca7a-8c22-bb7e-9e3d-7453652a3350/full/843,/0/default.jpg","Richard Hunt created in 1958, one year after graduating from the School of the Art Institute of Chicago. The sculpture is composed of found objects—old pipes, bits of metal, and automobile  parts—that the artist discovered in junkyards and on the street. Using a torch like a paintbrush, Hunt welded these elements into a form that is abstract yet recognizable. Hunt was fascinated with mythology, and can be related to other sculptures past and present, from ancient statues of Greek heroes to modern monuments of statesmen. The modest but monumental stance of the figure suggests a contemporary hero who maintains strength in the face of the uncertainties and dangers of the present age."
Nighthawks,"https://www.artic.edu/iiif/2/831a05de-d3f6-f4fa-a460-23008dd58dda/full/843,/0/default.jpg","About Edward Hopper recollected, “unconsciously, probably, I was painting the loneliness of a large city.” In an all-night diner, three customers sit at the counter opposite a server, each appear to be lost in thought and disengaged from one another. The composition is tightly organized and spare in details: there is no entrance to the establishment, no debris on the streets. Through harmonious geometric forms and the glow of the diner’s electric lighting, Hopper created a serene, beautiful, yet enigmatic scene. Although inspired by a restaurant Hopper had seen on Greenwich Avenue in New York, the painting is not a realistic transcription of an actual place. As viewers, we are left to wonder about the figures, their relationships, and this imagined world."
